filepaths,labels,data set,feature_vector,x,y
train/Afghan/019.jpg,Afghan,train,"[-0.01561163 -0.09883448 -0.12273153 ... -0.1135816  -0.07640313
 -0.10494814]",22.225624,-6.6671968
train/Afghan/043.jpg,Afghan,train,"[-1.5472119e-01  8.4810033e-02 -7.8102976e-02 ... -7.2945491e-06
 -1.1333837e-01 -9.3707666e-02]",23.580336,-6.8823266
train/Afghan/037.jpg,Afghan,train,"[-0.17426158  0.02087318 -0.10639864 ... -0.06593482 -0.13377872
 -0.09633034]",23.705841,-6.8600755
train/Afghan/077.jpg,Afghan,train,"[-0.15775329 -0.15471691 -0.14513108 ...  0.00465475 -0.12955691
 -0.10648484]",23.10844,-7.619363
train/Afghan/054.jpg,Afghan,train,"[-0.13765804  0.1321636  -0.08033466 ...  0.06451601 -0.14054732
 -0.1150987 ]",23.753448,-7.0564294
train/Afghan/092.jpg,Afghan,train,"[-0.15023218 -0.0867176  -0.18075904 ... -0.04022789 -0.02808147
 -0.06435157]",24.005909,-7.3066454
train/Afghan/057.jpg,Afghan,train,"[-0.1668823  -0.01010025 -0.0593878  ...  0.10798725 -0.15466624
 -0.09719689]",23.855492,-7.1267138
valid/Afghan/09.jpg,Afghan,valid,"[-0.14506565 -0.13821171 -0.17536804 ...  0.27191898 -0.11686777
 -0.13196613]",23.375992,-8.094065
train/Afghan/094.jpg,Afghan,train,"[-0.15943626 -0.16704547 -0.15504368 ...  0.06173078 -0.08776187
 -0.12711976]",23.10809,-7.6243243
train/Afghan/005.jpg,Afghan,train,"[-0.09749625  0.01237733 -0.1361932  ...  0.12888429 -0.16323884
 -0.10003299]",23.414871,-7.3979583
train/Afghan/028.jpg,Afghan,train,"[-0.18801682 -0.1543813  -0.11605141 ...  0.11360167 -0.15196875
 -0.14007936]",22.314905,-7.249881
valid/Afghan/02.jpg,Afghan,valid,"[-0.15108292 -0.14702517 -0.18838784 ...  0.42285314 -0.14283672
 -0.1332649 ]",23.373816,-8.084177
train/Afghan/045.jpg,Afghan,train,"[-0.10084412 -0.18657383 -0.02074801 ...  0.01558614 -0.03430755
 -0.1467883 ]",22.568995,-6.037961
train/Afghan/097.jpg,Afghan,train,"[-0.15202793 -0.04972904 -0.12177457 ...  0.1885988  -0.18047476
 -0.08513318]",24.051947,-7.931033
train/Afghan/020.jpg,Afghan,train,"[-0.08194037  0.12538162 -0.10233974 ... -0.0365033  -0.13907892
 -0.05752971]",24.028372,-5.9903283
train/Afghan/078.jpg,Afghan,train,"[-0.1460126   0.08033817 -0.07172294 ... -0.01140391 -0.14403434
 -0.08134229]",23.981354,-6.977253
train/Afghan/011.jpg,Afghan,train,"[-0.09459502 -0.05970674 -0.10185195 ...  0.00058221 -0.11998977
 -0.13711739]",22.197863,-6.684462
train/Afghan/102.jpg,Afghan,train,"[-0.1467343  -0.12830964 -0.09270965 ... -0.10480151 -0.08260363
 -0.11195896]",23.343859,-6.6370487
train/Afghan/012.jpg,Afghan,train,"[-0.13929461  0.01352284 -0.14305255 ...  0.04011662 -0.1263264
 -0.0992725 ]",23.60234,-6.9076676
test/Afghan/10.jpg,Afghan,test,"[-0.09875979 -0.09516395 -0.14762634 ... -0.07470793 -0.13328373
 -0.09350824]",23.445217,-8.157618
train/Afghan/048.jpg,Afghan,train,"[-0.09205408 -0.08443005 -0.15469746 ...  0.17040311 -0.1427537
 -0.07577135]",23.833704,-7.6536336
train/Afghan/079.jpg,Afghan,train,"[-0.08594904  0.03375752 -0.1544501  ...  0.02494005 -0.15416366
 -0.09703005]",24.036598,-7.02217
train/Afghan/001.jpg,Afghan,train,"[-0.1489083  -0.03081259 -0.17059371 ... -0.02726548 -0.13037895
 -0.11268496]",24.243109,-7.338305
train/Afghan/027.jpg,Afghan,train,"[-0.15498495  0.03784234 -0.11952195 ... -0.01067139 -0.09901554
 -0.05622909]",24.141756,-6.7041044
train/Afghan/032.jpg,Afghan,train,"[-0.18375757 -0.09403127  0.0942585  ...  0.19336581  0.03166359
 -0.08390412]",23.05357,-5.570759
